ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
D_Eny,D_Eny,,0.56,25.15,enya1247,,D,East-Central,D14,D-Eny,Enya,6,0.5,25.5
D_Ge1,D_Ge1,,,,,,D,East-Central,D14,D-Ge1,Genia,0,-4.1,26
D_Bin,D_Bin,,,,binj1250,,D,East-Central,D24,D-Bin,Binja-N,0,-2.7,26.2
D_Sng,D_Sng,,-2.21871,26.3477,song1300,,D,East-Central,D24,D-Sng,Songola,1,-2.3,26.5
D_Le1,D_Le1,,-3.39007,28.2621,lega1250,,D,East-Central,D25,D-Le1,Lega,0,-2.7,27.3
D_Reg,D_Reg,,,,,,D,East-Central,D25,D-Reg,Rega,0,-2.6,27.35
D_Zim,D_Zim,,-4.013,26.6083,zimb1251,,D,East-Central,D26,D-Zim,Zimba,0,-4.3,26.6
D_Hol,D_Hol,,-5.37545,28.3274,holo1240,,D,East-Central,D28,D-Hol,Holoholo,1,-5.9,29.2
D_Tum,D_Tum,,,,,,D,East-Central,D28b,D-Tum,Tumbwe,5,-6,28.8
D_Bi1,D_Bi1,,1.50054,30.0293,bera1259,,D,Boan-Lebonya,D32,D-Bi1,Bira,0,1.6,30.2
D_Ny1,D_Ny1,,1.92098,30.0201,nyal1250,,D,Boan-Lebonya,D33,D-Ny1,Nyali,0,2,27.9
D_Bod,D_Bod,,6.0,26.0,bodo1272,,D,Boan-Lebonya,D35,D-Bod,Bodo,0,2.2,27.9
D_Kum,D_Kum,,-0.76333,26.7144,komo1260,,D,Boan-Lebonya,D37,D-Kum,Kumu,0,-0.5,27
D_Nyg,D_Nyg,,-1.29357,28.31546,nyan1304,,D,Boan-Lebonya,D43,D-Nyg,Nyanga,0,-1.4,28
D_Buy,D_Buy,,-5.41806,28.5545,buyu1239,,D,East-Great Lakes,D55,D-Buy,Buyu,17,-4.5,28.3
E_Log,E_Log,,0.09487,34.729,logo1258,,E,East-Great Lakes,E41,E-Log,Logoli,3,0.1,34.9
E_Gik,E_Gik,,-0.29005,36.719,kiku1240,,E,East-Kilimanjaro,E51,E-Gik,Gikuyu,0,-0.5,36.7
E_Tha,E_Tha,,-0.13221,38.073,thar1283,,E,East-Kilimanjaro,E54,E-Tha,Tharaka,0,-0.2,38.2
E_Kam,E_Kam,,-1.60827,37.9532,kamb1297,,E,East-Kilimanjaro,E55,E-Kam,Kamba,6,-1.4,38
E_Cha,E_Cha,,,,chag1250,,E,East-Kilimanjaro,E62b,E-Cha,Chaga,2,-3.2,37.3
E_Po1,E_Po1,,-2.31587,40.2897,poko1261,,E,East-Coastal,E71,E-Po1,Pokomo,10,-1.4,39.9
E_Gi1,E_Gi1,,-3.30638,39.6648,giry1241,,E,East-Coastal,E72a,E-Gi1,Giryama,0,-3.2,39.4
